vessel_id,pixel_x,pixel_y,area_pixels,mean_backscatter,mean_sbci,aspect_ratio,compactness,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,cluster_id
1,9210.5,4123.5,16,1770.5,8.036316871643066,1.3333333333333333,1.0471975511965976,9208.243241665808,4121.807431249356,9212.756758334192,4125.192568750644,2
2,8113.0,4508.0,15,1830.199951171875,7.997697830200195,1.3333333333333333,1.0471975511965976,8110.814903138816,4506.3611773541115,8115.185096861184,4509.6388226458885,1
3,3412.0,7079.5,12,6531.08349609375,11.26019287109375,1.3333333333333333,1.0471975511965976,3410.045589952388,7078.034192464292,3413.954410047612,7080.965807535708,0
