vessel_id,pixel_x,pixel_y,area_pixels,mean_backscatter,mean_sbci,aspect_ratio,compactness,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,cluster_id
1,5962.105263157895,5989.421052631579,19,4603.0,10.77710247039795,1.3333333333333333,1.0471975511965979,5959.646017778212,5987.576618596817,5964.564508537578,5991.2654866663415,1
2,5140.0,7823.5,12,1442.1666259765625,8.576647758483887,1.3333333333333333,1.0471975511965976,5138.045589952389,7822.034192464292,5141.954410047611,7824.965807535708,2
3,9046.5,8937.0,12,1325.6666259765625,8.177900314331055,1.3333333333333333,1.0471975511965976,9044.545589952388,8935.53419246429,9048.454410047612,8938.46580753571,0
