vessel_id,pixel_x,pixel_y,area_pixels,mean_backscatter,mean_sbci,aspect_ratio,compactness,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,cluster_id
1,9886.608695652174,2050.9565217391305,23,949.95654296875,8.598788261413574,1.3333333333333333,1.0471975511965979,9883.902937462271,2048.927203096703,9889.314453842077,2052.985840381558,2
2,7076.5,6231.5,16,6574.1875,14.338386535644531,1.3333333333333333,1.0471975511965976,7074.243241665809,6229.807431249356,7078.756758334191,6233.192568750644,1
3,8915.0,7572.0,9,1341.4444580078125,7.7128143310546875,1.3333333333333333,1.0471975511965976,8913.307431249357,7570.7305734370175,8916.692568750643,7573.2694265629825,0
4,5517.0,7845.0,9,1150.5555419921875,6.911068439483643,1.3333333333333333,1.0471975511965976,5515.307431249356,7843.7305734370175,5518.692568750644,7846.2694265629825,0
